30,19.98,0
28.667,21.334,0.00055563
28.093,21.907,0.0016669
27.843,22.154,0.0027781
27.694,22.3,0.0038894
27.586,22.405,0.0050006
27.501,22.489,0.0061119
27.429,22.56,0.0072231
27.367,22.621,0.0083344
27.313,22.674,0.0094456
27.265,22.722,0.010557
27.221,22.765,0.011668
27.182,22.804,0.012779
27.146,22.839,0.013891
27.112,22.872,0.015002
27.082,22.903,0.016113
27.053,22.931,0.017224
27.026,22.958,0.018336
27.001,22.983,0.019447
26.977,23.006,0.020558
26.955,23.028,0.021669
26.933,23.049,0.022781
26.913,23.069,0.023892
26.894,23.088,0.025003
26.876,23.106,0.026114
26.858,23.124,0.027226
26.841,23.14,0.028337
26.825,23.156,0.029448
26.81,23.171,0.030559
26.795,23.186,0.031671
26.781,23.2,0.032782
26.767,23.214,0.033893
26.754,23.227,0.035004
26.741,23.239,0.036116
26.729,23.252,0.037227
26.717,23.264,0.038338
26.705,23.275,0.039449
26.694,23.286,0.040561
26.683,23.297,0.041672
26.673,23.308,0.042783
26.662,23.318,0.043894
26.652,23.328,0.045006
26.643,23.337,0.046117
26.633,23.347,0.047228
26.624,23.356,0.048339
26.615,23.365,0.049451
26.606,23.374,0.050562
26.598,23.382,0.051673
26.589,23.39,0.052784
26.581,23.399,0.053896
26.573,23.406,0.055007
26.565,23.414,0.056118
26.558,23.422,0.057229
26.55,23.429,0.058341
26.543,23.437,0.059452
26.536,23.444,0.060563
26.529,23.451,0.061674
26.522,23.457,0.062786
26.515,23.464,0.063897
26.509,23.471,0.065008
26.502,23.477,0.066119
26.496,23.484,0.067231
26.49,23.49,0.068342
26.484,23.496,0.069453
26.478,23.502,0.070564
26.472,23.508,0.071676
26.466,23.514,0.072787
26.46,23.519,0.073898
26.455,23.525,0.075009
26.449,23.53,0.076121
26.444,23.536,0.077232
26.439,23.541,0.078343
26.433,23.546,0.079454
26.428,23.552,0.080566
26.423,23.557,0.081677
26.418,23.562,0.082788
26.413,23.567,0.083899
26.408,23.571,0.085011
26.404,23.576,0.086122
26.399,23.581,0.087233
26.394,23.586,0.088344
26.39,23.59,0.089456
26.385,23.595,0.090567
26.381,23.599,0.091678
26.376,23.603,0.092789
26.372,23.608,0.093901
26.368,23.612,0.095012
26.364,23.616,0.096123
26.36,23.62,0.097234
26.356,23.625,0.098346
26.352,23.629,0.099457
26.348,23.633,0.10057
26.344,23.637,0.10168
26.34,23.641,0.10279
26.336,23.644,0.1039
26.332,23.648,0.10501
26.328,23.652,0.10612
26.325,23.656,0.10724
26.321,23.659,0.10835
26.318,23.663,0.10946
26.314,23.667,0.11057
26.31,23.67,0.11168
26.307,23.674,0.11279
26.304,23.677,0.1139
26.3,23.681,0.11501
26.297,23.684,0.11613
26.294,23.687,0.11724
26.29,23.691,0.11835
26.287,23.694,0.11946
26.284,23.697,0.12057
26.281,23.7,0.12168
26.277,23.704,0.12279
26.274,23.707,0.1239
26.271,23.71,0.12502
26.268,23.713,0.12613
26.265,23.716,0.12724
26.262,23.719,0.12835
26.259,23.722,0.12946
26.256,23.725,0.13057
26.254,23.728,0.13168
26.251,23.731,0.13279
26.248,23.734,0.13391
26.245,23.737,0.13502
26.242,23.74,0.13613
26.239,23.742,0.13724
26.237,23.745,0.13835
26.234,23.748,0.13946
26.231,23.751,0.14057
26.229,23.753,0.14168
26.226,23.756,0.1428
26.223,23.759,0.14391
26.221,23.761,0.14502
26.218,23.764,0.14613
26.216,23.766,0.14724
26.213,23.769,0.14835
26.211,23.772,0.14946
26.208,23.774,0.15057
26.206,23.777,0.15169
26.204,23.779,0.1528
26.201,23.782,0.15391
26.199,23.784,0.15502
26.196,23.786,0.15613
26.194,23.789,0.15724
26.192,23.791,0.15835
26.189,23.794,0.15946
26.187,23.796,0.16058
26.185,23.798,0.16169
26.183,23.8,0.1628
26.18,23.803,0.16391
26.178,23.805,0.16502
26.176,23.807,0.16613
26.174,23.81,0.16724
26.172,23.812,0.16835
26.17,23.814,0.16947
26.167,23.816,0.17058
26.165,23.818,0.17169
26.163,23.82,0.1728
26.161,23.823,0.17391
26.159,23.825,0.17502
26.157,23.827,0.17613
26.155,23.829,0.17724
26.12,23.865,0.1778
